country,year,birth_rate_per_thousand
Afghanistan,1979,48.1
Afghanistan,2000,41.2
Afghanistan,2009,35.6
Albania,1970,32.5
Albania,1985,26.2
Albania,1995,23.6
Albania,2005,12.6
Albania,2011,10.1
Algeria,1970,43.9
Algeria,1985,38.3
Algeria,1995,25.1
Algeria,2005,21.4
Algeria,2010,25.0
American Samoa,1970,37.4
American Samoa,1985,39.0
American Samoa,1995,32.1
American Samoa,2005,26.3
American Samoa,2006,21.6
Andorra,1977,17.1
Andorra,1985,12.5
Andorra,1995,10.3
Andorra,2005,10.5
Andorra,2010,9.8
Angola,1970,45.0
Angola,2005,42.5
Anguilla,1985,26.6
Anguilla,1995,17.0
Anguilla,2005,12.2
Anguilla,2011,11.1
Antigua and Barbuda,1970,25.4
Antigua and Barbuda,1985,18.7
Antigua and Barbuda,1995,19.9
Antigua and Barbuda,2000,21.1
Antigua and Barbuda,2010,13.8
Argentina,1970,22.7
Argentina,1985,21.4
Argentina,1995,18.9
Argentina,2005,18.4
Argentina,2010,18.7
Armenia,1970,22.1
Armenia,1985,24.1
Armenia,1995,13.0
Armenia,2005,11.7
Armenia,2011,13.3
Aruba,1972,20.7
Aruba,1985,18.2
Aruba,1995,17.8
Aruba,2005,12.3
Aruba,2010,10.6
Australia,1970,20.6
Australia,1985,15.7
Australia,1995,14.2
Australia,2005,12.7
Australia,2010,13.4
Austria,1970,15.0
Austria,1985,11.6
Austria,1995,11.2
Austria,2005,9.5
Austria,2011,9.3
Azerbaijan,1970,27.7
Azerbaijan,1985,26.6
Azerbaijan,1995,18.6
Azerbaijan,2005,16.7
Azerbaijan,2011,19.4
Bahamas,1970,28.9
Bahamas,1985,27.3
Bahamas,1993,24.8
Bahamas,2004,13.9
Bahamas,2005,14.6
Bahrain,1971,29.2
Bahrain,1985,29.5
Bahrain,1995,24.1
Bahrain,2005,21.0
Bahrain,2009,15.3
Bangladesh,1974,42.9
Bangladesh,1985,38.0
Bangladesh,1995,29.5
Bangladesh,2002,28.7
Bangladesh,2005,26.1
Barbados,1970,20.4
Barbados,1985,16.9
Barbados,1992,15.8
Barbados,2005,12.8
Barbados,2007,12.9
Belarus,1970,16.2
Belarus,1985,16.5
Belarus,1995,9.9
Belarus,2005,9.3
Belarus,2011,11.5
Belgium,1970,14.7
Belgium,1985,11.6
Belgium,1995,11.4
Belgium,2006,11.5
Belgium,2009,11.8
Belize,1970,36.4
Belize,1985,35.7
Belize,1995,30.1
Belize,2004,29.4
Belize,2005,29.9
Benin,1961,54.0
Benin,1980,54.0
Benin,1995,40.6
Benin,2002,41.2
Benin,2005,41.5
Bermuda,1970,20.0
Bermuda,1985,16.0
Bermuda,1995,13.6
Bermuda,2005,13.1
Bermuda,2009,12.7
Bhutan,1984,39.1
Bhutan,1993,39.9
Bhutan,2000,34.1
Bhutan,2005,19.0
Bolivia (Plurinational State of),1975,46.6
Bolivia (Plurinational State of),1980,40.2
Bolivia (Plurinational State of),1996,30.7
Bolivia (Plurinational State of),2002,28.1
Bolivia (Plurinational State of),2006,25.5
Bosnia and Herzegovina,1970,22.2
Bosnia and Herzegovina,1985,17.6
Bosnia and Herzegovina,1996,12.8
Bosnia and Herzegovina,2005,9.0
Bosnia and Herzegovina,2010,8.7
Botswana,1971,44.5
Botswana,1981,41.6
Botswana,1991,39.3
Botswana,2001,28.8
Botswana,2006,29.8
Brazil,1970,37.7
Brazil,1980,31.9
Brazil,1994,21.6
Brazil,2005,17.7
Brazil,2008,16.4
British Virgin Islands,1970,32.4
British Virgin Islands,1985,20.3
British Virgin Islands,1995,15.5
British Virgin Islands,2003,12.6
British Virgin Islands,2004,14.6
Brunei Darussalam,1971,39.5
Brunei Darussalam,1985,30.5
Brunei Darussalam,1996,25.7
Brunei Darussalam,2004,20.1
Brunei Darussalam,2008,16.7
Bulgaria,1970,16.3
Bulgaria,1985,13.3
Bulgaria,1995,8.6
Bulgaria,2005,9.2
Bulgaria,2011,9.6
Burkina Faso,1975,46.0
Burkina Faso,1985,49.6
Burkina Faso,1996,46.1
Burkina Faso,2002,40.2
Burkina Faso,2009,41.2
Burundi,1971,42.0
Burundi,1979,47.0
Burundi,1990,48.0
Burundi,2002,33.3
Burundi,2009,44.5
Cambodia,1962,46.8
Cambodia,1996,38.0
Cambodia,2004,25.5
Cambodia,2009,24.2
Cameroon,1976,45.0
Cameroon,1987,41.0
Cameroon,1996,35.4
Cameroon,2002,37.8
Cameroon,2010,38.1
Canada,1970,17.1
Canada,1985,14.5
Canada,1995,12.9
Canada,2005,10.6
Canada,2009,11.3
Cape Verde,1970,35.0
Cape Verde,1980,40.0
Cape Verde,1998,36.7
Cape Verde,2000,29.2
Cape Verde,2010,27.0
Cayman Islands,1970,32.8
Cayman Islands,1985,18.2
Cayman Islands,1995,14.8
Cayman Islands,2005,14.4
Cayman Islands,2010,14.6
Central African Republic,1975,43.0
Central African Republic,1988,41.6
Central African Republic,1993,38.3
Central African Republic,2003,29.8
Chad,1964,45.0
Chad,1993,41.0
Chad,1995,46.2
Chad,2003,44.6
Channel Islands,1970,14.8
Channel Islands,1985,11.7
Channel Islands,1995,12.2
Channel Islands,2005,10.8
Channel Islands,2006,10.3
Chile,1970,27.4
Chile,1985,21.6
Chile,1995,18.5
Chile,2005,14.2
Chile,2009,14.9
China,1970,33.0
China,1985,20.8
China,1995,17.0
China,2005,12.4
China,2011,11.9
"China, Hong Kong SAR",1970,20.0
"China, Hong Kong SAR",1985,14.0
"China, Hong Kong SAR",1995,11.1
"China, Hong Kong SAR",2005,8.4
"China, Hong Kong SAR",2009,11.7
"China, Macao SAR",1970,10.9
"China, Macao SAR",1985,26.1
"China, Macao SAR",1995,14.4
"China, Macao SAR",2005,7.8
"China, Macao SAR",2011,10.5
Colombia,1974,34.8
Colombia,1985,28.1
Colombia,1993,26.5
Colombia,2004,20.4
Colombia,2009,18.0
Comoros,1966,44.6
Comoros,1980,46.0
Comoros,1994,31.6
Comoros,2003,35.6
Congo,1974,41.0
Congo,1984,45.2
Congo,2004,40.0
Congo,2011,41.4
Cook Islands,1970,37.1
Cook Islands,1985,23.9
Cook Islands,1995,25.3
Cook Islands,2006,11.7
Cook Islands,2010,12.0
Costa Rica,1970,33.4
Costa Rica,1985,33.8
Costa Rica,1995,25.6
Costa Rica,2005,16.8
Costa Rica,2009,16.2
Côte d'Ivoire,1997,39.8
Côte d'Ivoire,1979,52.6
Côte d'Ivoire,1988,48.0
Côte d'Ivoire,2004,38.4
Côte d'Ivoire,2011,37.1
Croatia,1970,13.9
Croatia,1985,13.3
Croatia,1995,10.7
Croatia,2005,9.6
Croatia,2010,9.8
Cuba,1970,27.7
Cuba,1985,18.1
Cuba,1995,13.5
Cuba,2005,10.7
Cuba,2010,11.4
Cyprus,1970,19.2
Cyprus,1985,18.5
Cyprus,1995,11.5
Cyprus,2005,8.0
Cyprus,2009,8.8
Czech Republic,1970,15.1
Czech Republic,1985,13.1
Czech Republic,1995,9.3
Czech Republic,2005,10.0
Czech Republic,2011,10.3
Democratic People's Republic of Korea,1970,44.7
Democratic People's Republic of Korea,1985,22.1
Democratic People's Republic of Korea,1993,17.3
Democratic People's Republic of Korea,2003,15.6
Democratic People's Republic of Korea,2008,14.4
Democratic Republic of the Congo,1976,43.8
Democratic Republic of the Congo,1984,48.1
Democratic Republic of the Congo,2001,48.5
Democratic Republic of the Congo,2005,44.1
Denmark,1970,14.4
Denmark,1985,10.5
Denmark,1995,13.3
Denmark,2005,11.9
Denmark,2011,10.6
Djibouti,1991,30.3
Djibouti,2001,19.6
Dominica,1970,35.8
Dominica,1985,22.8
Dominica,1995,20.7
Dominica,2005,14.3
Dominica,2010,13.8
Dominican Republic,1970,36.9
Dominican Republic,1983,32.0
Dominican Republic,1995,27.7
Dominican Republic,2001,25.2
Dominican Republic,2005,20.4
Ecuador,1974,37.4
Ecuador,1982,32.8
Ecuador,1990,28.2
Ecuador,2001,24.2
Egypt,1970,32.3
Egypt,1985,37.6
Egypt,1995,25.9
Egypt,2005,24.3
Egypt,2010,27.9
El Salvador,1970,40.0
El Salvador,1985,29.0
El Salvador,1995,28.1
El Salvador,2005,18.6
El Salvador,2009,17.5
Equatorial Guinea,1983,42.0
Equatorial Guinea,1994,43.1
Equatorial Guinea,2001,43.2
Eritrea,1994,38.3
Eritrea,2000,32.3
Estonia,1979,15.0
Estonia,1985,15.5
Estonia,1995,9.4
Estonia,2005,10.7
Estonia,2011,11.0
Ethiopia,1967,50.1
Ethiopia,1984,37.9
Ethiopia,1998,39.0
Ethiopia,2003,35.7
Ethiopia,2009,34.5
Faroe Islands,1970,21.1
Faroe Islands,1985,16.2
Faroe Islands,1995,14.7
Faroe Islands,2005,14.8
Faroe Islands,2011,11.9
Falkland Islands (Malvinas),1970,16.5
Falkland Islands (Malvinas),1985,16.2
Falkland Islands (Malvinas),1995,8.2
Falkland Islands (Malvinas),2005,6.1
Falkland Islands (Malvinas),2006,9.1
Fiji,1970,29.9
Fiji,1985,27.9
Fiji,1995,24.2
Fiji,2005,21.6
Fiji,2009,21.5
Finland,1970,14.0
Finland,1985,12.8
Finland,1995,12.3
Finland,2005,11.0
Finland,2010,11.4
France,1970,16.7
France,1985,13.9
France,1995,12.6
France,2005,12.7
France,2010,12.8
French Guiana,1970,32.2
French Guiana,1985,28.6
French Guiana,1995,31.0
French Guiana,2005,29.7
French Guiana,2010,26.3
French Polynesia,1971,38.1
French Polynesia,1985,31.1
French Polynesia,1995,22.7
French Polynesia,2005,17.5
French Polynesia,2010,16.9
Gabon,1961,35.0
Gabon,1993,39.0
Gabon,1999,33.0
Gambia,1973,49.0
Gambia,1983,50.0
Gambia,1993,46.2
Georgia,1970,19.2
Georgia,1985,18.5
Georgia,1995,11.9
Georgia,2005,10.7
Georgia,2011,13.4
Germany,1970,13.5
Germany,1985,10.5
Germany,1995,9.4
Germany,2005,8.3
Germany,2010,8.3
Ghana,1971,49.6
Ghana,1992,36.4
Ghana,1997,32.5
Ghana,2002,32.6
Ghana,2007,30.8
Gibraltar,1970,23.2
Gibraltar,1985,17.4
Gibraltar,1995,15.9
Gibraltar,2005,14.4
Gibraltar,2010,16.7
Greece,1970,16.5
Greece,1985,11.7
Greece,1995,9.5
Greece,2005,9.7
Greece,2010,10.1
Greenland,1970,24.6
Greenland,1985,21.4
Greenland,1995,20.1
Greenland,2005,15.6
Greenland,2010,15.4
Grenada,1970,29.0
Grenada,1985,34.0
Grenada,1995,23.2
Grenada,2001,18.8
Grenada,2002,17.3
Guadeloupe,1970,29.3
Guadeloupe,1985,19.6
Guadeloupe,1997,18.3
Guadeloupe,2005,16.9
Guadeloupe,2010,11.6
Guam,1970,33.8
Guam,1985,27.0
Guam,1995,29.1
Guam,2005,19.0
Guam,2011,18.1
Guatemala,1970,40.5
Guatemala,1985,42.2
Guatemala,1995,37.2
Guatemala,2005,29.5
Guatemala,2008,27.0
Guinea,1983,45.5
Guinea,1997,37.3
Guinea,2003,38.4
Guinea-Bissau,1979,41.0
Guinea-Bissau,1991,44.1
Guinea-Bissau,2000,42.3
Guinea-Bissau,2006,40.9
Guyana,1970,33.4
Guyana,1980,24.5
Guyana,1991,20.7
Guyana,2003,21.3
Guyana,2007,22.5
Haiti,1975,37.6
Haiti,1983,36.0
Haiti,1993,34.1
Haiti,2003,25.7
Haiti,2004,28.4
Honduras,1972,49.2
Honduras,1986,38.0
Honduras,1994,28.8
Honduras,2001,33.7
Honduras,2004,26.7
Hungary,1970,14.7
Hungary,1985,12.2
Hungary,1995,11.0
Hungary,2005,9.7
Hungary,2010,9.0
Iceland,1970,19.7
Iceland,1985,16.0
Iceland,1995,16.0
Iceland,2005,14.5
Iceland,2011,14.1
India,1971,36.9
India,1985,32.9
India,1995,28.3
India,2005,23.8
India,2010,22.1
Indonesia,1971,40.6
Indonesia,1980,35.5
Indonesia,1999,23.0
Indonesia,2004,20.3
Indonesia,2006,20.9
Iran (Islamic Republic of),1970,41.1
Iran (Islamic Republic of),1985,43.7
Iran (Islamic Republic of),1996,19.5
Iran (Islamic Republic of),2005,17.7
Iran (Islamic Republic of),2008,18.0
Iraq,1974,42.6
Iraq,1997,29.4
Iraq,2005,31.0
Ireland,1970,21.9
Ireland,1985,17.7
Ireland,1995,13.5
Ireland,2005,14.7
Ireland,2010,16.5
Isle of Man,1970,14.8
Isle of Man,1985,10.9
Isle of Man,1995,11.7
Isle of Man,2006,11.2
Isle of Man,2007,11.3
Israel,1970,27.2
Israel,1985,23.5
Israel,1995,21.1
Israel,2005,20.8
Israel,2010,21.8
Italy,1970,16.8
Italy,1985,10.2
Italy,1995,9.2
Italy,2005,9.5
Italy,2010,9.3
Jamaica,1970,34.7
Jamaica,1985,24.5
Jamaica,1995,25.6
Jamaica,2005,17.8
Jamaica,2009,16.3
Japan,1970,19.0
Japan,1985,11.9
Japan,1995,9.5
Japan,2005,8.4
Japan,2010,8.4
Jordan,1974,47.7
Jordan,1985,36.6
Jordan,1995,32.2
Jordan,2005,28.5
Jordan,2010,29.7
Kazakhstan,1970,23.4
Kazakhstan,1985,25.2
Kazakhstan,1995,17.5
Kazakhstan,2005,18.4
Kazakhstan,2008,22.7
Kenya,1969,50.0
Kenya,1989,48.0
Kenya,1996,34.8
Kenya,2001,37.5
Kenya,2007,34.8
Kiribati,1976,34.9
Kiribati,1985,37.5
Kiribati,1995,32.2
Kiribati,2000,26.4
Kiribati,2005,26.8
Kuwait,1970,44.9
Kuwait,1985,31.6
Kuwait,1995,25.3
Kuwait,2005,22.5
Kuwait,2010,21.0
Kyrgyzstan,1970,30.5
Kyrgyzstan,1985,32.0
Kyrgyzstan,1995,25.6
Kyrgyzstan,2005,21.9
Kyrgyzstan,2010,28.1
Lao People's Democratic Republic,1988,45.0
Lao People's Democratic Republic,1995,41.3
Lao People's Democratic Republic,2000,34.0
Lao People's Democratic Republic,2005,34.7
Latvia,1979,13.9
Latvia,1985,15.4
Latvia,1995,8.7
Latvia,2005,9.3
Latvia,2010,8.6
Lebanon,1970,34.4
Lebanon,1996,27.0
Lebanon,2005,18.3
Lebanon,2010,22.5
Lesotho,1975,40.2
Lesotho,1986,37.0
Lesotho,1996,30.0
Lesotho,2003,25.3
Lesotho,2008,26.4
Liberia,1970,53.8
Liberia,1984,27.3
Liberia,2005,37.6
Liberia,2007,40.3
Libya,1970,41.2
Libya,1985,40.2
Libya,1995,18.6
Libya,2000,18.9
Libya,2002,20.4
Liechtenstein,1970,19.8
Liechtenstein,1985,13.7
Liechtenstein,1995,13.7
Liechtenstein,2005,11.0
Liechtenstein,2010,9.1
Lithuania,1979,15.3
Lithuania,1985,16.5
Lithuania,1995,11.1
Lithuania,2005,8.9
Lithuania,2011,10.7
Luxembourg,1970,13.0
Luxembourg,1985,11.2
Luxembourg,1995,13.3
Luxembourg,2005,11.5
Luxembourg,2011,10.9
Madagascar,1975,45.0
Madagascar,1991,43.6
Madagascar,1996,42.7
Madagascar,2002,35.3
Madagascar,2008,33.4
Malawi,1977,48.3
Malawi,1987,41.2
Malawi,1998,37.9
Malawi,2006,43.9
Malawi,2009,39.2
Malaysia,1970,36.8
Malaysia,1985,31.6
Malaysia,1995,26.0
Malaysia,2005,17.9
Malaysia,2009,17.8
Maldives,1974,38.9
Maldives,1985,48.0
Maldives,1995,27.5
Maldives,2005,18.8
Maldives,2010,22.5
Mali,1961,55.0
Mali,1987,46.6
Mali,1994,45.5
Mali,2005,45.2
Mali,2009,45.9
Malta,1970,16.3
Malta,1985,16.0
Malta,1990,15.1
Malta,2005,9.6
Malta,2011,10.2
Marshall Islands,1973,46.1
Marshall Islands,1985,39.7
Marshall Islands,1995,28.9
Marshall Islands,2005,30.5
Marshall Islands,2006,30.2
Martinique,1970,28.5
Martinique,1985,16.9
Martinique,1995,15.3
Martinique,2005,12.7
Martinique,2010,12.0
